session_id,phase_idx,class_id_target,class_name_target,condition,take,frame,class_id_pred,class_name_pred,confidence
20260317_032038,0,24,Precision Disk,air,1,0,24,Precision Disk,0.5548
20260317_032038,0,24,Precision Disk,air,1,1,24,Precision Disk,0.5419
20260317_032038,0,24,Precision Disk,air,1,2,24,Precision Disk,0.4567
20260317_032038,0,24,Precision Disk,air,1,3,24,Precision Disk,0.4879
20260317_032038,0,24,Precision Disk,air,1,4,24,Precision Disk,0.459
20260317_032038,0,24,Precision Disk,air,1,5,24,Precision Disk,0.4407
20260317_032038,0,24,Precision Disk,air,1,6,24,Precision Disk,0.4143
20260317_032038,0,24,Precision Disk,air,1,7,24,Precision Disk,0.4375
20260317_032038,0,24,Precision Disk,air,1,8,24,Precision Disk,0.3975
20260317_032038,0,24,Precision Disk,air,1,9,24,Precision Disk,0.3174
20260317_032038,0,24,Precision Disk,air,1,10,24,Precision Disk,0.4241
20260317_032038,0,24,Precision Disk,air,1,11,24,Precision Disk,0.3623
20260317_032038,0,24,Precision Disk,air,1,12,24,Precision Disk,0.378
20260317_032038,0,24,Precision Disk,air,1,13,24,Precision Disk,0.2798
20260317_032038,0,24,Precision Disk,air,1,14,5,Palmar,0.3297
20260317_032038,0,24,Precision Disk,air,1,15,24,Precision Disk,0.3293
20260317_032038,0,24,Precision Disk,air,1,16,24,Precision Disk,0.3427
20260317_032038,0,24,Precision Disk,air,1,17,5,Palmar,0.3415
20260317_032038,0,24,Precision Disk,air,1,18,24,Precision Disk,0.2912
20260317_032038,0,24,Precision Disk,air,1,19,24,Precision Disk,0.2845
20260317_032038,0,24,Precision Disk,air,1,20,24,Precision Disk,0.2728
20260317_032038,0,24,Precision Disk,air,1,21,5,Palmar,0.2581
20260317_032038,0,24,Precision Disk,air,1,22,24,Precision Disk,0.395
20260317_032038,0,24,Precision Disk,air,1,23,24,Precision Disk,0.2937
20260317_032038,0,24,Precision Disk,air,1,24,9,Distal,0.2209
20260317_032038,0,24,Precision Disk,air,1,25,24,Precision Disk,0.2802
20260317_032038,0,24,Precision Disk,air,1,26,24,Precision Disk,0.2992
20260317_032038,0,24,Precision Disk,air,1,27,24,Precision Disk,0.3466
20260317_032038,0,24,Precision Disk,air,1,28,24,Precision Disk,0.3831
20260317_032038,0,24,Precision Disk,air,1,29,24,Precision Disk,0.4253
20260317_032038,0,24,Precision Disk,air,1,30,5,Palmar,0.265
20260317_032038,0,24,Precision Disk,air,1,31,24,Precision Disk,0.326
20260317_032038,0,24,Precision Disk,air,1,32,9,Distal,0.3092
20260317_032038,0,24,Precision Disk,air,1,33,24,Precision Disk,0.3648
20260317_032038,0,24,Precision Disk,air,1,34,24,Precision Disk,0.2641
20260317_032038,0,24,Precision Disk,air,1,35,5,Palmar,0.3933
20260317_032038,0,24,Precision Disk,air,1,36,24,Precision Disk,0.3029
20260317_032038,0,24,Precision Disk,air,1,37,24,Precision Disk,0.365
20260317_032038,0,24,Precision Disk,air,1,38,5,Palmar,0.3201
