,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.7511323603422244,0.0,0.0,0.024534474081529943,0.05825364871665828,0.018243583291394062,0.000377453447408153,0.001509813789632612,0.005410166079516859,0.026547559134373427,0.01836940110719678,0.03145445395067942,0.03535480624056366,0.000377453447408153,0.0013839959738298944,0.0005032712632108706,0.0,0.0021389028686462004,0.0017614494212380473,0.00012581781580271766,0.0005032712632108706,0.0,0.0039003522898842474,0.000377453447408153,0.010820332159033719,0.0031454453950679417,0.0020130850528434826,0.0017614494212380473
Small Diameter,0.00013635124079629124,0.6313062448868285,0.006135805835833106,0.009953640578129261,0.00545404963185165,0.007090264521407145,0.02304335969457322,0.14766839378238342,0.07117534769566403,0.0036814835014998635,0.0,0.003817834742296155,0.007226615762203436,0.0,0.004908644668666485,0.03354240523588765,0.001636214889555495,0.00109080992637033,0.01431688028361058,0.006681210799018271,0.00327242977911099,0.001636214889555495,0.005863103354240524,0.0013635124079629125,0.004772293427870194,0.00013635124079629124,0.00040905372238887375,0.0036814835014998635
Index Finger Extension,0.0001590836780146357,0.00042422314137236184,0.875808675363241,0.0010075299607593595,0.006363347120585428,0.00026513946335772617,0.0049846219111252515,0.002439283062891081,0.005037649803796797,0.050694665393997244,0.00010605578534309046,0.00042422314137236184,0.0006363347120585428,0.000901474175416269,0.0030756177749496237,0.00026513946335772617,0.00026513946335772617,0.0016438646728179022,0.029324424647364514,0.0006893626047300881,0.0,0.0,0.0004772510340439071,0.0003181673560292714,0.0017499204581609927,0.0005302789267154523,0.0003711952487008166,0.012037331636440768
Extension Type,0.006566419331538512,0.00026265677326154047,0.001641604832884628,0.8663077024098759,0.012147875763346248,0.0005253135465230809,0.0038085232122923368,0.014971436075907807,0.009127322870838532,0.0046621577253923435,0.00026265677326154047,0.00019699257994615536,0.01641604832884628,0.0003939851598923107,0.007157397071376978,0.01424912994943857,0.00013132838663077023,0.003939851598923108,0.005909777398384661,0.0003939851598923107,0.001116291286361547,0.002298246766038479,0.002232582572723094,0.0040711799855538775,0.005056142885284654,0.004596493532076958,0.0079453673911616,0.0036115306323461814
Parallel Extension,0.08014354066985646,0.0,0.0005980861244019139,0.01076555023923445,0.7893241626794258,0.019437799043062202,0.0002990430622009569,0.004784688995215311,0.002541866028708134,0.010915071770334928,0.005532296650717704,0.01958732057416268,0.01270933014354067,0.00687799043062201,0.0008971291866028708,0.0,0.0,0.0007476076555023923,0.0007476076555023923,0.00014952153110047846,0.0013456937799043063,0.00014952153110047846,0.002840909090909091,0.0013456937799043063,0.018989234449760764,0.006130382775119617,0.001644736842105263,0.0014952153110047847
Palmar,0.003858796627125911,0.0037158782335286553,0.0011433471487780477,0.004001715020723167,0.08703730170072889,0.6764327568958125,0.0005716735743890238,0.003287123052736887,0.14649135343718736,0.0022866942975560954,0.0005716735743890238,0.008432185222238101,0.0004287551807917679,0.003287123052736887,0.0012862655423753037,0.011719308274974988,0.0,0.0002858367871945119,0.009432613977418893,0.0012862655423753037,0.005287980563098471,0.004716306988709447,0.0068600828926682865,0.0022866942975560954,0.007288838073460055,0.0017150207231670716,0.0037158782335286553,0.0025725310847506074
Medium Wrap,0.012250453720508167,0.13021778584392016,0.004990925589836661,0.019509981851179675,0.028584392014519056,0.005898366606170599,0.39836660617059894,0.15834845735027223,0.048548094373865695,0.024047186932849365,0.0,0.004990925589836661,0.016333938294010888,0.0,0.005898366606170599,0.014972776769509982,0.0,0.008620689655172414,0.03402903811252268,0.008620689655172414,0.0018148820326678765,0.00045372050816696913,0.009528130671506351,0.003629764065335753,0.039927404718693285,0.0013611615245009074,0.007713248638838476,0.011343012704174229
Adducted Thumb,0.0033367097658344755,0.05594947268068879,0.0029792051480664957,0.018173151403205624,0.009056783650122148,0.0033367097658344755,0.025680748376333194,0.6625156408270273,0.10862181969850444,0.004051719001370435,0.000774593338497289,0.0010129297503426087,0.0030387892510278258,0.0010725138533039386,0.009235535959006138,0.03575046177679795,0.006971340046475601,0.0039921348984091045,0.00804385389977954,0.0013108502651492581,0.0025025323243758565,0.00041708872072930943,0.008341774414586188,0.00017875230888398974,0.011440147768575343,0.0010725138533039386,0.0014896025740332478,0.009652624679735447
Light Tool,0.0020220743112309377,0.01217457241553627,0.0025697194371893167,0.001811441570477715,0.001895694666779004,0.01849355463813295,0.0014744291852725588,0.035344173898390764,0.7723902603420676,0.0013901760889712697,0.00016850619260257814,0.0009267840593141798,0.0015165557334232034,0.0018535681186283596,0.0011374168000674026,0.07338444687842278,0.027592889038672172,0.001979947763080293,0.019462465245597776,0.0022327070519841605,0.006487488415199258,0.00016850619260257814,0.0009267840593141798,0.00408627517061252,0.000631898222259668,0.0002527592889038672,0.0036650096891060746,0.003959895526160586
Distal,0.023706372000194712,4.867838193058463e-05,0.07141118629216765,0.007739862726962956,0.0075938275811712015,0.00019471352772233852,0.0006328189650976002,0.004916516574989047,0.0015090298398481234,0.8322056174852748,0.0015577082217787081,0.006376868032906586,0.004088984082169109,0.002531275860390401,0.0034074867351409238,0.000535462201236431,0.0,0.0012656379301952004,0.00043810543737526165,9.735676386116926e-05,9.735676386116926e-05,0.0,0.0037482354086550164,0.00019471352772233852,0.014360122669522465,0.007447792435379448,0.0007788541108893541,0.0031154164435574162
Ring,0.04835698282300224,0.0,0.0016803584764749813,0.00392083644510829,0.020724421209858103,0.0009335324869305452,0.0,0.005601194921583271,0.002987303958177745,0.005227781926811053,0.6366691560866318,0.00392083644510829,0.004667662434652726,0.0024271844660194173,0.006534727408513816,0.0031740104555638537,0.0007468259895444362,0.00578790141896938,0.00018670649738610905,0.0,0.020911127707244213,0.0061613144137415985,0.1820388349514563,0.0,0.02856609410007468,0.0013069454817027633,0.0005601194921583271,0.006908140403286034
Power Disk,0.10399351307520778,0.004054327995134806,0.0,0.0018244475978106628,0.006689641191972431,0.004865193594161768,0.0022298803973241437,0.0054733427934319885,0.009933103588080276,0.008311372390026352,0.0036488951956213257,0.77052503547537,0.03101560916278127,0.00020271639975674033,0.0022298803973241437,0.003040745996351105,0.0,0.000608149199270221,0.00040543279951348065,0.0,0.00040543279951348065,0.00040543279951348065,0.003040745996351105,0.00040543279951348065,0.021487938374214473,0.011554834786134198,0.0022298803973241437,0.0014190147982971822
Power Sphere,0.040593759466828236,0.000757346258709482,0.0,0.017267494698576188,0.006361708573159649,0.004847016055740685,0.0016661617691608604,0.019842471978188427,0.010602847621932747,0.01136019388064223,0.008936685852771888,0.019236594971220843,0.6826719176007271,0.0004544077552256892,0.008027870342320508,0.0,0.0,0.0018176310209027568,0.0025749772796122387,0.0,0.0,0.0,0.0024235080278703423,0.000757346258709482,0.0969403211148137,0.04740987579521357,0.006361708573159649,0.009088155104513784
Sphere 4-Finger,0.0,0.0,0.003278688524590164,0.0014344262295081967,0.014959016393442623,0.0006147540983606558,0.0,0.0,0.001639344262295082,0.0014344262295081967,0.0006147540983606558,0.0036885245901639345,0.0,0.8469262295081967,0.0004098360655737705,0.0004098360655737705,0.0,0.0010245901639344263,0.0006147540983606558,0.0,0.002459016393442623,0.0,0.000819672131147541,0.0,0.10553278688524591,0.013114754098360656,0.0006147540983606558,0.0004098360655737705
Sphere 3-Finger,0.016938759868168927,0.009734038476278071,0.005518510002299379,0.019621368897064458,0.004598758335249482,0.0004598758335249483,0.0016095654173373189,0.010883728060090442,0.00705142944738254,0.015865716256610714,0.022303977925959992,0.0009963976393040546,0.0067448455583659075,0.0014562734728290028,0.6160803249789224,0.009734038476278071,0.0005365218057791063,0.0064382616693492755,0.008354410975703226,0.0008431056947957384,0.00030658388901663215,0.00030658388901663215,0.026366214455430366,7.664597225415804e-05,0.010730436115582127,0.0026826090288955317,0.006131677780332643,0.18762934007817889
Lateral,0.00029961424665742855,0.004119695891539643,0.0007115838358113929,0.016853301374480358,0.0006366802741470357,0.00183513726077675,0.0009737463016366428,0.018426276169431856,0.14321560990225085,7.490356166435714e-05,0.0005243249316505,0.00022471068499307141,0.00029961424665742855,0.0,0.002509269315755964,0.7601587955507284,0.01988689562188682,0.0028463353432455715,0.004419310138197071,0.001048649863301,0.001647878356615857,0.013632448222912999,0.0024343657540916073,0.0003745178083217857,0.001048649863301,0.0,0.0,0.0017976854799445713
Stick,0.0,0.023286759813705923,0.0013306719893546241,0.0,0.0,0.003992015968063872,0.0026613439787092482,0.04125083166999335,0.3489687292082502,0.0,0.0,0.001996007984031936,0.002328675981370592,0.0,0.00033266799733865603,0.10246174318030606,0.31270791749833665,0.0029940119760479044,0.09015302727877578,0.021956087824351298,0.006986027944111776,0.021956087824351298,0.007984031936127744,0.003992015968063872,0.0006653359946773121,0.0,0.0,0.001996007984031936
Adduction Grip,0.00967853439336329,0.0008641548565502938,0.010888351192533702,0.014517801590044937,0.0025924645696508816,0.0,0.0010369858278603526,0.01123401313515382,0.038195644659522986,0.00846871759419288,0.0031109574835810577,0.008123055651572762,0.0,0.0015554787417905289,0.01261666090563429,0.03318354649153128,0.000691323885240235,0.7687521603871413,0.015727618389215346,0.01106118216384376,0.00276529554096094,0.006221914967162115,0.00017283097131005876,0.015036294503975112,0.003629450397511234,0.002246802627030764,0.0012098167991704113,0.016418942274455582
Writing Tripod,0.0029784065524944155,0.012099776619508562,0.008935219657483246,0.008438818565400843,0.0017994539587987094,0.009990071978158353,0.0033507073715562173,0.01538843385455448,0.08904194589228097,0.001365103003226607,0.00043435095557210225,0.00037230081906180194,0.00018615040953090097,0.00037230081906180194,0.002295855050881112,0.04790270538595185,0.012906428394142468,0.009183420203524448,0.5893521965748325,0.035864978902953586,0.039650037230081904,0.005956813104988831,0.0071978158351948375,0.02686770910896004,0.0014271531397369074,0.00018615040953090097,0.006391164060560933,0.06006453214197071
Lateral Tripod,0.0031262211801484957,0.019538882375928098,0.0062524423602969914,0.0017584994138335288,0.0037123876514263384,0.02207893708479875,0.00605705353653771,0.004689331770222743,0.14400156311059006,0.0037123876514263384,0.0013677217663149667,0.0005861664712778429,0.0,0.0,0.0009769441187964048,0.01817116060961313,0.006838608831574834,0.013872606486908948,0.27960140679953105,0.28487690504103164,0.027354435326299335,0.020711215318483783,0.007424775302852677,0.0892926924579914,0.0021492770613520907,0.0,0.0033216100039077765,0.028526768268855023
Palmar Pinch,0.000149947518368571,0.0002249212775528565,0.000299895036737142,0.000449842555105713,0.0029239766081871343,0.0017243964612385664,0.0,0.0021742390163442793,0.03148897885739991,0.000299895036737142,0.001649422702054281,0.000149947518368571,7.49737591842855e-05,0.004273504273504274,0.001349527665317139,0.0024741340530814214,0.013945119208277103,7.49737591842855e-05,0.02751536962063278,0.0032238716449242764,0.7894736842105263,0.033063427800269905,0.059379217273954114,0.005922926975558554,0.007422402159244264,0.001949317738791423,0.0011246063877642825,0.007197480881691408
Tip Pinch,0.0015376013419066256,0.0026558568632932627,0.0019569471624266144,0.012859938495946324,0.0026558568632932627,0.0033547665641599105,0.0009784735812133072,0.0033547665641599105,0.02096729102599944,0.0009784735812133072,0.007827788649706457,0.0006989097008666481,0.0002795638803466592,0.0002795638803466592,0.004612804025719877,0.1402012859938496,0.019569471624266144,0.024042493709812693,0.031450936538999164,0.005032149846239866,0.17696393625943527,0.44883980989656136,0.015096449538719598,0.05535364830863852,0.004333240145373218,0.0006989097008666481,0.0009784735812133072,0.012440592675426335
Inferior Pincer,0.006749076442171071,0.0013498152884342143,0.000923557828928673,0.00021312872975277067,0.006109690252912759,0.0013498152884342143,0.0007814720090934925,0.015274225632281898,0.004546746234725774,0.0019181585677749361,0.1430804205740267,0.0,0.002486501847115658,0.0011366865586814436,0.002486501847115658,0.005328218243819267,0.0013498152884342143,0.003694231315714692,0.0016339869281045752,0.00021312872975277067,0.0603154305200341,0.007459505541346973,0.6869138959931799,0.00021312872975277067,0.03424268258027849,0.001562944018186985,0.00021312872975277067,0.008454106280193236
