session_id,phase_idx,class_id_target,class_name_target,condition,take,frame,class_id_pred,class_name_pred,confidence
20260317_022534,1,10,Ring,object,1,7,22,Inferior Pincer,0.841
20260317_022534,1,10,Ring,object,1,8,22,Inferior Pincer,0.8517
20260317_022534,1,10,Ring,object,1,9,22,Inferior Pincer,0.8422
20260317_022534,1,10,Ring,object,1,10,22,Inferior Pincer,0.8117
20260317_022534,1,10,Ring,object,1,11,22,Inferior Pincer,0.8291
20260317_022534,1,10,Ring,object,1,12,22,Inferior Pincer,0.8062
20260317_022534,1,10,Ring,object,1,13,22,Inferior Pincer,0.7934
20260317_022534,1,10,Ring,object,1,14,22,Inferior Pincer,0.8168
20260317_022534,1,10,Ring,object,1,15,22,Inferior Pincer,0.7899
20260317_022534,1,10,Ring,object,1,16,22,Inferior Pincer,0.8325
20260317_022534,1,10,Ring,object,1,17,22,Inferior Pincer,0.8177
20260317_022534,1,10,Ring,object,1,18,22,Inferior Pincer,0.7956
20260317_022534,1,10,Ring,object,1,19,22,Inferior Pincer,0.7956
20260317_022534,1,10,Ring,object,1,20,22,Inferior Pincer,0.8054
20260317_022534,1,10,Ring,object,1,21,22,Inferior Pincer,0.7696
20260317_022534,1,10,Ring,object,1,22,22,Inferior Pincer,0.8161
20260317_022534,1,10,Ring,object,1,23,22,Inferior Pincer,0.7831
20260317_022534,1,10,Ring,object,1,24,22,Inferior Pincer,0.8236
20260317_022534,1,10,Ring,object,1,25,22,Inferior Pincer,0.8142
20260317_022534,1,10,Ring,object,1,26,22,Inferior Pincer,0.8184
20260317_022534,1,10,Ring,object,1,27,22,Inferior Pincer,0.7925
20260317_022534,1,10,Ring,object,1,28,22,Inferior Pincer,0.7765
20260317_022534,1,10,Ring,object,1,29,22,Inferior Pincer,0.799
20260317_022534,1,10,Ring,object,1,30,22,Inferior Pincer,0.6693
20260317_022534,1,10,Ring,object,1,31,22,Inferior Pincer,0.765
20260317_022534,1,10,Ring,object,1,32,22,Inferior Pincer,0.7064
20260317_022534,1,10,Ring,object,1,33,22,Inferior Pincer,0.7364
20260317_022534,1,10,Ring,object,1,34,22,Inferior Pincer,0.5543
20260317_022534,1,10,Ring,object,1,35,22,Inferior Pincer,0.6911
20260317_022534,1,10,Ring,object,1,36,22,Inferior Pincer,0.6426
20260317_022534,1,10,Ring,object,1,37,22,Inferior Pincer,0.7565
20260317_022534,1,10,Ring,object,1,38,22,Inferior Pincer,0.7302
20260317_022534,1,10,Ring,object,1,39,22,Inferior Pincer,0.644
20260317_022534,1,10,Ring,object,1,40,22,Inferior Pincer,0.6639
20260317_022534,1,10,Ring,object,1,41,22,Inferior Pincer,0.7454
20260317_022534,1,10,Ring,object,1,42,22,Inferior Pincer,0.6174
20260317_022534,1,10,Ring,object,1,43,22,Inferior Pincer,0.6887
20260317_022534,1,10,Ring,object,1,44,22,Inferior Pincer,0.5839
20260317_022534,1,10,Ring,object,1,45,22,Inferior Pincer,0.5909
20260317_022534,1,10,Ring,object,1,46,22,Inferior Pincer,0.4916
20260317_022534,1,10,Ring,object,1,47,22,Inferior Pincer,0.5039
20260317_022534,1,10,Ring,object,1,48,22,Inferior Pincer,0.7416
20260317_022534,1,10,Ring,object,1,49,22,Inferior Pincer,0.5091
20260317_022534,1,10,Ring,object,1,50,22,Inferior Pincer,0.7565
20260317_022534,1,10,Ring,object,1,51,22,Inferior Pincer,0.7009
20260317_022534,1,10,Ring,object,1,52,22,Inferior Pincer,0.6019
20260317_022534,1,10,Ring,object,1,53,22,Inferior Pincer,0.5092
20260317_022534,1,10,Ring,object,1,54,22,Inferior Pincer,0.7433
20260317_022534,1,10,Ring,object,1,55,22,Inferior Pincer,0.7557
20260317_022534,1,10,Ring,object,1,56,22,Inferior Pincer,0.6753
20260317_022534,1,10,Ring,object,1,57,22,Inferior Pincer,0.5888
20260317_022534,1,10,Ring,object,1,58,22,Inferior Pincer,0.6783
20260317_022534,1,10,Ring,object,1,59,20,Palmar Pinch,0.4515
20260317_022534,1,10,Ring,object,1,60,20,Palmar Pinch,0.637
20260317_022534,1,10,Ring,object,1,61,20,Palmar Pinch,0.4545
20260317_022534,1,10,Ring,object,1,62,22,Inferior Pincer,0.7034
20260317_022534,1,10,Ring,object,1,63,20,Palmar Pinch,0.4536
20260317_022534,1,10,Ring,object,1,64,22,Inferior Pincer,0.5913
20260317_022534,1,10,Ring,object,1,65,22,Inferior Pincer,0.5365
20260317_022534,1,10,Ring,object,1,66,20,Palmar Pinch,0.5425
20260317_022534,1,10,Ring,object,1,67,22,Inferior Pincer,0.5545
20260317_022534,1,10,Ring,object,1,68,22,Inferior Pincer,0.5101
20260317_022534,1,10,Ring,object,1,69,20,Palmar Pinch,0.5198
20260317_022534,1,10,Ring,object,1,70,20,Palmar Pinch,0.527
20260317_022534,1,10,Ring,object,1,71,22,Inferior Pincer,0.5156
20260317_022534,1,10,Ring,object,1,72,20,Palmar Pinch,0.5423
20260317_022534,2,25,Precision Sphere,air,1,0,24,Precision Disk,0.311
20260317_022534,2,25,Precision Sphere,air,1,1,5,Palmar,0.2811
20260317_022534,2,25,Precision Sphere,air,1,2,24,Precision Disk,0.1881
20260317_022534,2,25,Precision Sphere,air,1,3,5,Palmar,0.2817
20260317_022534,2,25,Precision Sphere,air,1,4,5,Palmar,0.2166
20260317_022534,2,25,Precision Sphere,air,1,5,24,Precision Disk,0.1978
20260317_022534,2,25,Precision Sphere,air,1,6,5,Palmar,0.2186
20260317_022534,2,25,Precision Sphere,air,1,7,5,Palmar,0.3218
20260317_022534,2,25,Precision Sphere,air,1,8,5,Palmar,0.2515
20260317_022534,2,25,Precision Sphere,air,1,9,5,Palmar,0.2594
