,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.6475842979365878,0.0,0.000377453447408153,0.021640664318067437,0.09222445898339204,0.018243583291394062,0.0002516356316054353,0.0031454453950679417,0.004277805737292401,0.06316054353296427,0.014720684448917967,0.055234021137393056,0.048188223452440865,0.0,0.0006290890790135883,0.0008807247106190236,0.0,0.003019627579265224,0.0008807247106190236,0.0,0.0,0.0,0.0016356316054353297,0.0,0.013210870659285355,0.007045797684952189,0.0023905385002516355,0.0012581781580271766
Small Diameter,0.0,0.49740932642487046,0.007362967002999727,0.0055904008726479415,0.00327242977911099,0.008317425688573766,0.015544041450777202,0.23602399781838015,0.0980365421325334,0.003954185983092446,0.00013635124079629124,0.010226343059721843,0.0025906735751295338,0.0,0.0055904008726479415,0.024543223343332424,0.0013635124079629125,0.0059994545950368145,0.037087537496591216,0.0017725661303517862,0.0019089173711480775,0.0008181074447777475,0.008453776929370058,0.0020452686119443687,0.012271611671666212,0.0002727024815925825,0.00013635124079629124,0.009271884374147804
Index Finger Extension,5.302789267154523e-05,0.00042422314137236184,0.8463781949305335,0.0005302789267154523,0.0031286456676211686,0.0010605578534309047,0.002704422526248807,0.0049846219111252515,0.0023332272775479905,0.0883974970834659,5.302789267154523e-05,0.0007423904974016332,5.302789267154523e-05,0.0011135857461024498,0.0023862551702195354,0.0005302789267154523,0.00010605578534309046,0.0011135857461024498,0.02312016120479372,0.0003181673560292714,0.0,0.0,0.00010605578534309046,0.00026513946335772617,0.002545338848234171,0.0012726694241170856,0.0003711952487008166,0.01590836780146357
Extension Type,0.004268172565500033,0.00045964935320769586,0.0012476196729923172,0.8470024295751527,0.01615339155558474,0.00045964935320769586,0.003677194825661567,0.018517302514938605,0.007879703197846215,0.008995994484207761,0.0003283209665769256,6.566419331538512e-05,0.016875697682053974,0.0003283209665769256,0.006238098364961586,0.017729332195153984,0.00013132838663077023,0.0035458664390307965,0.011622562216823167,0.0007879703197846215,0.0007879703197846215,0.00282356031256156,0.0028892245058769455,0.0042025083721846474,0.009915293190623153,0.007485718037953904,0.00256090353930002,0.0030205528925077154
Parallel Extension,0.04709928229665072,0.0,0.0014952153110047847,0.010616028708133971,0.815938995215311,0.018989234449760764,0.00014952153110047846,0.00583133971291866,0.0031399521531100478,0.015849282296650717,0.004784688995215311,0.022129186602870814,0.013008373205741627,0.003438995215311005,0.0,0.0005980861244019139,0.0,0.0005980861244019139,0.0013456937799043063,0.0,0.0,0.00014952153110047846,0.0005980861244019139,0.0008971291866028708,0.019736842105263157,0.011961722488038277,0.0008971291866028708,0.0007476076555023923
Palmar,0.0034300414463341432,0.004430470201514935,0.0015721023295698156,0.003287123052736887,0.08617979133914534,0.6762898385022152,0.0011433471487780477,0.00814634843504359,0.09518365013577247,0.0022866942975560954,0.0002858367871945119,0.04330427325996856,0.0015721023295698156,0.0017150207231670716,0.004859225382306703,0.012433900242961269,0.0,0.0004287551807917679,0.012576818636558525,0.0004287551807917679,0.012576818636558525,0.0,0.0028583678719451195,0.003144204659139631,0.009146777190224381,0.005716735743890239,0.0017150207231670716,0.005287980563098471
Medium Wrap,0.003629764065335753,0.05308529945553539,0.005898366606170599,0.013157894736842105,0.02676950998185118,0.0054446460980036296,0.32849364791288566,0.2590744101633394,0.05308529945553539,0.03357531760435572,0.0,0.011796733212341199,0.019963702359346643,0.0,0.007713248638838476,0.030399274047186932,0.0,0.004083484573502722,0.06760435571687841,0.00045372050816696913,0.0,0.0009074410163339383,0.0054446460980036296,0.0013611615245009074,0.04627949183303085,0.0018148820326678765,0.0013611615245009074,0.018602540834845735
Adducted Thumb,0.002145027706607877,0.0284812012155157,0.0081630221057022,0.013346839063337902,0.009056783650122148,0.003575046177679795,0.018888160638741585,0.6851575999523327,0.1191086218196985,0.004885896442829054,0.00047667282369063933,0.002919621045105166,0.0033367097658344755,0.00017875230888398974,0.012691413930763272,0.03187749508431151,0.0023833641184531967,0.0032175415599118157,0.007686349282011559,0.0,0.0003575046177679795,5.9584102961329916e-05,0.0081630221057022,0.00011916820592265983,0.015313114461061789,0.001966275397723887,0.0017279389858785676,0.01471727343144849
Light Tool,0.0024012132445867386,0.006108349481843457,0.003075238014997051,0.003033111466846407,0.0053921981632825,0.03332209958715983,0.001348049540820625,0.052616058640155026,0.7128233212570562,0.0018535681186283596,0.0,0.010236751200606622,0.001095290251916758,0.001095290251916758,0.004339034459516387,0.08054596006403235,0.0258235740163451,0.002106327407532227,0.031173645631476957,0.0011374168000674026,0.004170528266913809,8.425309630128907e-05,0.0007161513185609571,0.004128401718763165,0.0012216698963686916,0.0002106327407532227,0.0035807565928047858,0.006361108770747325
Distal,0.015236333544272989,9.735676386116926e-05,0.05213454704765614,0.007058365379934771,0.005744049067808986,0.0002920702915835078,0.00024339190965292314,0.007447792435379448,0.0018011001314316311,0.8668646254198511,0.0018011001314316311,0.005500657158156063,0.0023852407145986466,0.0010222460205422772,0.0032127732074185853,0.0006328189650976002,0.0,0.0006814973470281848,9.735676386116926e-05,0.0,4.867838193058463e-05,0.0,0.0031154164435574162,9.735676386116926e-05,0.011634133281409727,0.007934576254685294,0.0002920702915835078,0.004624446283405539
