session_id,phase_idx,class_id_target,class_name_target,condition,take,frame,class_id_pred,class_name_pred,confidence,confirmed,min_visibility,mean_visibility,landmarks_low_vis
20260316_205859,0,21,Tip Pinch,air,1,0,10,Ring,0.6618,False,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,1,10,Ring,0.4112,False,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,2,10,Ring,0.4456,False,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,3,10,Ring,0.4404,False,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,4,10,Ring,0.4776,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,5,10,Ring,0.4581,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,6,10,Ring,0.4758,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,7,10,Ring,0.463,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,8,10,Ring,0.4964,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,9,10,Ring,0.5167,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,10,10,Ring,0.4454,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,11,10,Ring,0.4987,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,12,10,Ring,0.4792,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,13,10,Ring,0.491,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,14,10,Ring,0.4228,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,15,10,Ring,0.4203,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,16,10,Ring,0.4489,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,17,10,Ring,0.4471,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,18,10,Ring,0.4952,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,19,10,Ring,0.4602,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,20,10,Ring,0.3946,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,21,10,Ring,0.4042,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,22,10,Ring,0.4427,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,23,10,Ring,0.4483,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,24,10,Ring,0.4159,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,25,10,Ring,0.4132,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,26,10,Ring,0.4568,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,27,10,Ring,0.4446,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,28,10,Ring,0.4366,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,29,10,Ring,0.4053,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,30,10,Ring,0.4639,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,31,10,Ring,0.4471,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,32,10,Ring,0.4552,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,33,10,Ring,0.4528,True,0.0,0.0,21
20260316_205859,0,21,Tip Pinch,air,1,34,10,Ring,0.4734,True,0.0,0.0,21
