,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.6186462003019627,0.0,0.0,0.04441368897835934,0.0441620533467539,0.008555611474584801,0.0,0.0020130850528434826,0.002264720684448918,0.07674886763965777,0.06668344237544037,0.008555611474584801,0.04881731253145445,0.0017614494212380473,0.004529441368897836,0.0,0.0,0.000377453447408153,0.0023905385002516355,0.0,0.001132360342224459,0.00012581781580271766,0.010694514343231001,0.002264720684448918,0.021137393054856568,0.02793155510820332,0.00377453447408153,0.003019627579265224
Small Diameter,0.0,0.5362694300518135,0.004090537223888737,0.009408235614944097,0.0008181074447777475,0.013635124079629125,0.008999181892555223,0.12503408781019906,0.03722388873738751,0.0024543223343332426,0.002317971093536951,0.043086992091628036,0.003408781019907281,0.0009544586855740388,0.012680665394055086,0.06517589310062721,0.0,0.0012271611671666213,0.03776929370057268,0.025906735751295335,0.004226888464685029,0.003817834742296155,0.006408508317425688,0.0059994545950368145,0.03176983910553586,0.00109080992637033,0.00218161985274066,0.014044177802017999
Index Finger Extension,0.0001590836780146357,0.0005833068193869976,0.7721921730830417,0.0005302789267154523,0.005620956623183794,0.0007954183900731785,0.0012726694241170856,0.0012196415314455404,0.0013256973167886307,0.11263124403436207,0.0011135857461024498,0.0005302789267154523,0.0010075299607593595,0.0014847809948032665,0.012196415314455403,0.0010605578534309047,0.00021211157068618092,0.0011666136387739952,0.015537172552762752,0.0003181673560292714,5.302789267154523e-05,0.00010605578534309046,0.0010605578534309047,5.302789267154523e-05,0.007529960759359423,0.0007954183900731785,0.0005833068193869976,0.05886096086541521
Extension Type,0.004333836758815418,0.0006566419331538512,0.0008536345131000065,0.8623678508109528,0.0012476196729923172,0.00013132838663077023,0.001969925799461554,0.007091732878061593,0.008536345131000066,0.003151881279138486,0.0020355899927769388,0.0007223061264692364,0.015825070589007815,0.00013132838663077023,0.023770437980169413,0.013067174469761638,0.0,0.0024295751526692494,0.012541860923238559,0.0026922319259307897,0.0010506270930461619,0.001641604832884628,0.00256090353930002,0.003086217085823101,0.013001510276446254,0.0030205528925077154,0.007748374811215444,0.004333836758815418
Parallel Extension,0.1013755980861244,0.0002990430622009569,0.0005980861244019139,0.014354066985645933,0.6707535885167464,0.02452153110047847,0.0002990430622009569,0.0005980861244019139,0.0007476076555023923,0.02048444976076555,0.01375598086124402,0.0020933014354066986,0.008672248803827751,0.030801435406698566,0.0011961722488038277,0.0,0.0,0.0002990430622009569,0.0011961722488038277,0.00014952153110047846,0.0035885167464114833,0.00014952153110047846,0.024222488038277513,0.0005980861244019139,0.04141746411483253,0.02751196172248804,0.003289473684210526,0.007027511961722488
Palmar,0.005002143775903959,0.0010004287551807919,0.0004287551807917679,0.0008575103615835358,0.07831927969129628,0.7386022581106189,0.0,0.0027154494783478635,0.02944118908103473,0.0011433471487780477,0.0017150207231670716,0.03387165928254966,0.0014291839359725598,0.00814634843504359,0.0011433471487780477,0.015435186508503644,0.0,0.0007145919679862799,0.007288838073460055,0.007860511647849079,0.007717593254251822,0.0002858367871945119,0.005430898956695727,0.003858796627125911,0.016435615263684436,0.005145062169501215,0.010004287551807918,0.01600686008289267
Medium Wrap,0.004990925589836661,0.11388384754990925,0.0027223230490018148,0.05898366606170599,0.005898366606170599,0.013157894736842105,0.15970961887477314,0.09709618874773139,0.030852994555353903,0.020871143375680582,0.014065335753176044,0.012250453720508167,0.02676950998185118,0.013157894736842105,0.04219600725952813,0.015426497277676952,0.0,0.004083484573502722,0.0662431941923775,0.04310344827586207,0.003629764065335753,0.0,0.02041742286751361,0.006352087114337568,0.13475499092558985,0.003176043557168784,0.03176043557168784,0.0544464609800363
Adducted Thumb,0.004587975928022404,0.04730977775129595,0.00685217184055294,0.025263659655603884,0.002442948221414527,0.005720073884287672,0.008878031341238157,0.5404873979622237,0.08103438002740869,0.004170887207293094,0.005958410296132991,0.012572245724840612,0.007805517487934219,0.0025621164273371866,0.04969314186974915,0.06143121015313115,0.0017875230888398975,0.003634630280641125,0.039504260263361735,0.004766728236906393,0.00720967645832092,0.00023833641184531966,0.014002264195912531,0.0006554251325746291,0.034260859202764705,0.004230471310254424,0.003515462074718465,0.019424417565393554
Light Tool,0.00547645125958379,0.01449153256382172,0.0015165557334232034,0.005350071615131856,0.0007582778667116017,0.05691296655152077,0.0009689106074648243,0.03837728536523717,0.4235403151065802,0.0024854663408880274,0.0008004044148622462,0.018788440475187462,0.006950880444856348,0.0020642008593815824,0.00947847333389502,0.2812789620018536,0.0056028309040357235,0.0004633920296570899,0.05510152498104305,0.009394220237593731,0.011289914904372736,0.0008004044148622462,0.005265818518830567,0.005687084000337013,0.006445361867048614,0.0017693150223270706,0.010615890133962424,0.018325048445530373
Distal,0.023755050382125296,0.0,0.07666845154067078,0.01431144428759188,0.007837219490824126,0.00038942705544467703,0.0001460351457917539,0.0017524217495010466,0.00024339190965292314,0.7889305359489851,0.009297570948741663,0.0014116730759869541,0.007399114053448863,0.002579954242320985,0.013289198267049603,0.0,0.0,0.0008275324928199387,0.0007301757289587694,9.735676386116926e-05,9.735676386116926e-05,0.0,0.004332375991822032,4.867838193058463e-05,0.02029888526505379,0.011731490045270895,0.002531275860390401,0.011293384607895633
