file,step,robots,has_test_metrics,test_score,z_dim,shared_dim,human_encoder,human_rot_repr,temporal_window,lam_udhm,xin_switching,contrastive_mode,extra_human_ratio,primitive_sample,force_cross_robot,n_steps,lr,b,T_0,seed,error
/home/yareeez/Downloads/pre_filter.pt,,,,,,,,,,,,,,,,,,,,,not a dict
/home/yareeez/Downloads/pre_transform.pt,,,,,,,,,,,,,,,,,,,,,not a dict
Downloads/stage1_best_total(4).pt,5022,shadow-legacy,False,,16,1024,,,,,,,0.1,,,6000,0.001,50000,2000,21266,
Downloads/stage1_best_total(5).pt,4682,shadow-legacy,True,2.5752556858956814,16,1024,,,,,,,0.1,,,6000,0.001,50000,2000,21266,
Downloads/stage1_best_total(6).pt,14957,shadow-legacy,True,2.4428849659860132,16,1024,,,,,,,0.1,,,15000,0.001,50000,2000,15825,
Downloads/stage1_best_total(7).pt,6672,shadow-legacy,False,,16,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_total(8).pt,9904,shadow-legacy,False,,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_total(9).pt,14237,shadow-legacy,True,2.702435707040131,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_total.pt,4878,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_best_total_NEW.pt,6269,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_best_total_eigenvalue.pt,4763,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_best_total_run29fix.pt,13607,shadow-legacy,True,2.5406951443850994,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_total_run9.pt,2493,shadow-legacy,False,,,,,,,,,,,,,,,,,,
Downloads/stage1_best_val(1).pt,6000,shadow-legacy,True,3.048319788686931,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_val(2).pt,14000,shadow-legacy,True,2.9508804181218142,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_val(27a).pt,3500,shadow-legacy,True,2.7451297439634796,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_val(27b).pt,14000,shadow-legacy,True,2.739224484190345,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_val(28).pt,3500,shadow-legacy,True,2.7451297439634796,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_val(28b).pt,1000,shadow-legacy,True,2.446476318947971,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_val(29).pt,5000,shadow-legacy,False,,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
Downloads/stage1_best_val(29b).pt,1500,shadow-legacy,True,2.471757113337517,64,1024,,,,,,,0.1,,,15000,0.001,50000,2000,21266,
