,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.5286864620030196,0.0,0.0002516356316054353,0.052591847005535985,0.08505284348263714,0.00591343734272773,0.0,0.0031454453950679417,0.01031706089582285,0.08115249119275289,0.05296930045294414,0.06542526421741318,0.05095621540010065,0.004403623553095118,0.0041519879214896825,0.0002516356316054353,0.0,0.0033970810266733768,0.007297433316557625,0.0,0.0010065425264217413,0.0,0.014091595369904378,0.0005032712632108706,0.012330145948666332,0.00918470055359839,0.004026170105686965,0.002893809763462506
Small Diameter,0.00013635124079629124,0.5073629670029998,0.00763566948459231,0.004090537223888737,0.0012271611671666213,0.007090264521407145,0.012680665394055086,0.16621216253067903,0.11739841832560677,0.0002727024815925825,0.000545404963185165,0.014725934005999454,0.008181074447777475,0.0006817562039814562,0.004908644668666485,0.08167439323697846,0.0014998636487592036,0.002863376056722116,0.021134442323425144,0.0051813471502590676,0.002863376056722116,0.00040905372238887375,0.00981728933733297,0.0024543223343332426,0.013771475320425415,0.0,0.000545404963185165,0.004635942187073902
Index Finger Extension,0.00010605578534309046,0.0003181673560292714,0.8567186340014847,0.0005302789267154523,0.005886096086541521,0.00021211157068618092,0.0014847809948032665,0.0021211157068618093,0.0049315940184537065,0.06039876975289002,0.0007423904974016332,0.00042422314137236184,0.0006893626047300881,0.0017499204581609927,0.002969561989606533,0.0010075299607593595,0.0004772510340439071,0.0025983667409057165,0.013734224201930215,0.00010605578534309046,0.00021211157068618092,0.00010605578534309046,0.000901474175416269,0.00021211157068618092,0.004189203521052074,0.0005302789267154523,0.00010605578534309046,0.036536218050694666
Extension Type,0.0028892245058769455,0.0012476196729923172,0.001707269026200013,0.8580340140521374,0.001116291286361547,6.566419331538512e-05,0.003742859018976952,0.015365421235800118,0.01372381640291549,0.0042025083721846474,0.0013789480596230876,0.0003283209665769256,0.009849628997307769,0.00026265677326154047,0.010571935123777004,0.021209534440869395,6.566419331538512e-05,0.0076170464245846736,0.0110315844769847,0.001641604832884628,0.0009192987064153917,0.0007879703197846215,0.004924814498653884,0.004530829338761574,0.013264167049707794,0.0014446122529384728,0.0028892245058769455,0.005187471271915424
Parallel Extension,0.058462918660287085,0.0,0.0013456937799043063,0.01629784688995215,0.7181519138755981,0.020933014354066987,0.00014952153110047846,0.0013456937799043063,0.0062799043062200955,0.021830143540669856,0.01270933014354067,0.0215311004784689,0.010466507177033494,0.03095095693779904,0.0011961722488038277,0.0,0.0,0.002541866028708134,0.0035885167464114833,0.0,0.00194377990430622,0.0004485645933014354,0.0325956937799043,0.0002990430622009569,0.0215311004784689,0.01076555023923445,0.0011961722488038277,0.003438995215311005
Palmar,0.0037158782335286553,0.0025725310847506074,0.0012862655423753037,0.0011433471487780477,0.09646991567814778,0.6599971416321281,0.00014291839359725596,0.00600257253108475,0.09361154780620266,0.0007145919679862799,0.0011433471487780477,0.03615835358010576,0.0008575103615835358,0.009861369158210662,0.0014291839359725598,0.027726168357867658,0.0,0.0008575103615835358,0.009432613977418893,0.0035729598399313993,0.005430898956695727,0.00014291839359725596,0.007145919679862799,0.0028583678719451195,0.009003858796627125,0.0004287551807917679,0.005573817350292983,0.01271973703015578
Medium Wrap,0.011796733212341199,0.12749546279491833,0.008166969147005444,0.021778584392014518,0.006805807622504537,0.0018148820326678765,0.20598911070780399,0.132486388384755,0.09210526315789473,0.016333938294010888,0.008166969147005444,0.003629764065335753,0.03856624319419238,0.01678765880217786,0.007713248638838476,0.03765880217785844,0.0,0.014972776769509982,0.0662431941923775,0.014065335753176044,0.0013611615245009074,0.0,0.024500907441016333,0.006352087114337568,0.08166969147005444,0.00045372050816696913,0.008166969147005444,0.044918330308529944
Adducted Thumb,0.002800452839182506,0.03706131204194721,0.010486802121194065,0.01447893701960317,0.003515462074718465,0.001430018471071918,0.006256330810939641,0.5998927486146696,0.14145266043019722,0.003098373353989156,0.0020258595006852173,0.006137162605016982,0.0052434010605970326,0.0023833641184531967,0.018411487815050944,0.052434010605970326,0.0020258595006852173,0.011261395459691355,0.013406423166299232,0.0011916820592265983,0.005302985163558363,0.0,0.017517726270630994,0.00023833641184531966,0.023297384257879996,0.000774593338497289,0.0010129297503426087,0.016862301138056368
Light Tool,0.0015586822815738478,0.005560704355885079,0.0024854663408880274,0.0016008088297244925,0.0013901760889712697,0.027171623557165726,0.00016850619260257814,0.06512764344089646,0.6333726514449406,0.000631898222259668,0.0002106327407532227,0.007793411407869239,0.002822478726093184,0.002990984918695762,0.003749262785407364,0.1742354031510658,0.00994186536355211,0.003075238014997051,0.02666610497935799,0.004423287555817676,0.006150476029994102,4.2126548150644534e-05,0.0027803521779425394,0.0031594911112983403,0.002106327407532227,0.00029488583705451174,0.0035807565928047858,0.006908753896705704
Distal,0.014700871343036558,4.867838193058463e-05,0.11697415177919486,0.00788589787275471,0.008810787129435817,0.00024339190965292314,0.00043810543737526165,0.002872024533904493,0.001070924402472862,0.7752032322445602,0.006182154505184247,0.004283697609891448,0.00725307890765711,0.002531275860390401,0.005208586866572555,0.0,0.0,0.004819159811127878,0.000535462201236431,0.0,0.0,0.0,0.007301757289587694,0.0001460351457917539,0.013629946940563695,0.0066202599425595095,0.0024339190965292313,0.010806600788589787
