,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.7521389028686462,0.0,0.0,0.02327629592350277,0.06995470558631102,0.025037745344740816,0.000377453447408153,0.002264720684448918,0.0055359838953195776,0.02755410166079517,0.0249119275289381,0.018243583291394062,0.02528938097634625,0.0,0.0008807247106190236,0.0008807247106190236,0.0,0.0016356316054353297,0.0021389028686462004,0.0,0.00012581781580271766,0.00012581781580271766,0.0027679919476597888,0.000377453447408153,0.011197785606441872,0.002642174131857071,0.0013839959738298944,0.0012581781580271766
Small Diameter,0.0002727024815925825,0.6418052904281429,0.002727024815925825,0.006408508317425688,0.0055904008726479415,0.007362967002999727,0.02931551677120262,0.14998636487592037,0.044314153258794654,0.003136078538314699,0.0006817562039814562,0.0024543223343332426,0.0025906735751295338,0.0,0.0051813471502590676,0.048950095445868556,0.00218161985274066,0.001636214889555495,0.012680665394055086,0.003954185983092446,0.0012271611671666213,0.00218161985274066,0.00872647941096264,0.00545404963185165,0.008453776929370058,0.0,0.0,0.002727024815925825
Index Finger Extension,0.0001590836780146357,0.0031286456676211686,0.8326969986212748,0.0006363347120585428,0.008484462827447237,0.00021211157068618092,0.006840598154629335,0.002704422526248807,0.001590836780146357,0.0895641107222399,0.0001590836780146357,0.0006893626047300881,0.0007423904974016332,0.00021211157068618092,0.0032347014529642594,0.000901474175416269,0.00026513946335772617,0.0033937851309788947,0.025506416375013257,0.0023332272775479905,0.00010605578534309046,0.0,0.00026513946335772617,0.00010605578534309046,0.0023332272775479905,0.0001590836780146357,0.00010605578534309046,0.013469084738572489
Extension Type,0.010046621577253924,0.0007879703197846215,0.0007223061264692364,0.8426029286230219,0.017991988968415522,0.000984962899730777,0.01293584608313087,0.015102764462538578,0.004333836758815418,0.007223061264692363,0.00026265677326154047,0.00019699257994615536,0.014446122529384726,0.00013132838663077023,0.006041105785015431,0.02987720795850023,0.0,0.003939851598923108,0.0076170464245846736,0.0013132838663077024,0.0005253135465230809,0.0017729332195153982,0.002298246766038479,0.005712784818438506,0.005056142885284654,0.002166918379407709,0.0036115306323461814,0.002298246766038479
Parallel Extension,0.0924043062200957,0.0004485645933014354,0.0002990430622009569,0.011064593301435407,0.7979964114832536,0.03453947368421053,0.0010466507177033493,0.0035885167464114833,0.0031399521531100478,0.007625598086124402,0.00687799043062201,0.008672248803827751,0.0062799043062200955,0.0,0.0013456937799043063,0.00014952153110047846,0.0,0.0011961722488038277,0.0004485645933014354,0.00014952153110047846,0.00014952153110047846,0.0,0.0005980861244019139,0.0002990430622009569,0.01674641148325359,0.00388755980861244,0.0002990430622009569,0.0007476076555023923
Palmar,0.0041446334143204235,0.0015721023295698156,0.00014291839359725596,0.0024296126911533514,0.09361154780620266,0.7103044161783622,0.0011433471487780477,0.004573388595112191,0.0980420180077176,0.0022866942975560954,0.0011433471487780477,0.017293125625267972,0.00014291839359725596,0.0007145919679862799,0.0017150207231670716,0.010575961126196942,0.0,0.0004287551807917679,0.017436044018865227,0.008289266828640847,0.004859225382306703,0.0,0.003001286265542375,0.0034300414463341432,0.004430470201514935,0.0,0.0015721023295698156,0.0067171644990710305
Medium Wrap,0.011796733212341199,0.10163339382940109,0.004990925589836661,0.009528130671506351,0.030852994555353903,0.004537205081669692,0.4723230490018149,0.1705989110707804,0.018148820326678767,0.021778584392014518,0.0,0.008620689655172414,0.009528130671506351,0.0,0.0054446460980036296,0.021778584392014518,0.0009074410163339383,0.006805807622504537,0.02676950998185118,0.009528130671506351,0.0027223230490018148,0.00045372050816696913,0.006805807622504537,0.004083484573502722,0.04128856624319419,0.0018148820326678765,0.0013611615245009074,0.005898366606170599
Adducted Thumb,0.004170887207293094,0.06697253172853483,0.0020258595006852173,0.019424417565393554,0.010844306738962044,0.005124232854674373,0.034856700232378,0.6735982839778347,0.06756837275814813,0.003575046177679795,0.0011320979562652685,0.000774593338497289,0.0023237800154918666,0.0,0.012274325210033963,0.048322707501638563,0.009473872370851457,0.002919621045105166,0.00750759697312757,0.0005362569266519693,0.001430018471071918,0.00017875230888398974,0.008222606208663528,0.00023833641184531966,0.008818447238276827,0.00047667282369063933,0.00017875230888398974,0.00703092414943693
Light Tool,0.0027803521779425394,0.0204313758530626,0.0010531637037661135,0.002990984918695762,0.0028646052742438283,0.03492290841688432,0.004339034459516387,0.05754486477378044,0.6911702755076249,0.001979947763080293,0.00016850619260257814,0.005981969837391524,0.0015165557334232034,0.0006740247704103125,0.001895694666779004,0.09861824922065886,0.02776139523127475,0.001895694666779004,0.01925183250484455,0.0047602999410228325,0.0037071362372567192,0.0005897716741090235,0.0008846575111635353,0.0053921981632825,0.0005055185778077344,0.0002106327407532227,0.002738225629791895,0.003370123852051563
Distal,0.027600642554641484,0.0002920702915835078,0.051404371318697364,0.011196027844034465,0.012218273864576742,0.00019471352772233852,0.0006814973470281848,0.004819159811127878,0.0012169595482646157,0.8445699264956433,0.0019958136591539696,0.0029207029158350778,0.003650878644793847,0.0012169595482646157,0.004429732755683201,0.00038942705544467703,0.0,0.0006328189650976002,0.0014603514579175389,0.0,0.0,0.0,0.00326145158934917,9.735676386116926e-05,0.011244706225965049,0.007350435671518279,0.0002920702915835078,0.006863651852212433
