session_id,phase_idx,class_id_target,class_name_target,condition,take,frame,class_id_pred,class_name_pred,confidence
20260317_030302,0,18,Writing Tripod,air,1,0,18,Writing Tripod,0.3673
20260317_030302,0,18,Writing Tripod,air,1,1,18,Writing Tripod,0.4072
20260317_030302,0,18,Writing Tripod,air,1,2,18,Writing Tripod,0.4067
20260317_030302,0,18,Writing Tripod,air,1,3,18,Writing Tripod,0.4314
20260317_030302,0,18,Writing Tripod,air,1,4,18,Writing Tripod,0.3463
20260317_030302,0,18,Writing Tripod,air,1,5,18,Writing Tripod,0.455
20260317_030302,0,18,Writing Tripod,air,1,6,18,Writing Tripod,0.4394
20260317_030302,0,18,Writing Tripod,air,1,7,18,Writing Tripod,0.5114
20260317_030302,0,18,Writing Tripod,air,1,8,18,Writing Tripod,0.3803
20260317_030302,0,18,Writing Tripod,air,1,9,18,Writing Tripod,0.4929
20260317_030302,0,18,Writing Tripod,air,1,10,18,Writing Tripod,0.4773
20260317_030302,0,18,Writing Tripod,air,1,11,18,Writing Tripod,0.5347
20260317_030302,0,18,Writing Tripod,air,1,12,18,Writing Tripod,0.4361
20260317_030302,0,18,Writing Tripod,air,1,13,18,Writing Tripod,0.4827
20260317_030302,0,18,Writing Tripod,air,1,14,18,Writing Tripod,0.5097
20260317_030302,0,18,Writing Tripod,air,1,15,18,Writing Tripod,0.4767
20260317_030302,0,18,Writing Tripod,air,1,16,18,Writing Tripod,0.5443
20260317_030302,0,18,Writing Tripod,air,1,17,18,Writing Tripod,0.4587
20260317_030302,0,18,Writing Tripod,air,1,18,18,Writing Tripod,0.4421
20260317_030302,0,18,Writing Tripod,air,1,19,18,Writing Tripod,0.5213
20260317_030302,0,18,Writing Tripod,air,1,20,18,Writing Tripod,0.4855
20260317_030302,0,18,Writing Tripod,air,1,21,18,Writing Tripod,0.4788
20260317_030302,0,18,Writing Tripod,air,1,22,18,Writing Tripod,0.4656
20260317_030302,0,18,Writing Tripod,air,1,23,18,Writing Tripod,0.4996
20260317_030302,0,18,Writing Tripod,air,1,24,18,Writing Tripod,0.4479
20260317_030302,0,18,Writing Tripod,air,1,25,18,Writing Tripod,0.4057
20260317_030302,0,18,Writing Tripod,air,1,26,18,Writing Tripod,0.4182
20260317_030302,0,18,Writing Tripod,air,1,27,18,Writing Tripod,0.4346
20260317_030302,0,18,Writing Tripod,air,1,28,18,Writing Tripod,0.4264
20260317_030302,0,18,Writing Tripod,air,1,29,18,Writing Tripod,0.4604
20260317_030302,0,18,Writing Tripod,air,1,30,18,Writing Tripod,0.4357
20260317_030302,0,18,Writing Tripod,air,1,31,18,Writing Tripod,0.4667
20260317_030302,0,18,Writing Tripod,air,1,32,18,Writing Tripod,0.5302
20260317_030302,0,18,Writing Tripod,air,1,33,18,Writing Tripod,0.4953
20260317_030302,0,18,Writing Tripod,air,1,34,18,Writing Tripod,0.4627
20260317_030302,0,18,Writing Tripod,air,1,35,18,Writing Tripod,0.4697
20260317_030302,0,18,Writing Tripod,air,1,36,18,Writing Tripod,0.5162
20260317_030302,0,18,Writing Tripod,air,1,37,18,Writing Tripod,0.4241
20260317_030302,0,18,Writing Tripod,air,1,38,18,Writing Tripod,0.5461
20260317_030302,0,18,Writing Tripod,air,1,39,18,Writing Tripod,0.527
20260317_030302,0,18,Writing Tripod,air,1,40,18,Writing Tripod,0.5063
20260317_030302,0,18,Writing Tripod,air,1,41,18,Writing Tripod,0.4968
20260317_030302,0,18,Writing Tripod,air,1,42,18,Writing Tripod,0.4152
20260317_030302,0,18,Writing Tripod,air,1,43,18,Writing Tripod,0.5155
20260317_030302,0,18,Writing Tripod,air,1,44,18,Writing Tripod,0.4874
20260317_030302,0,18,Writing Tripod,air,1,45,18,Writing Tripod,0.5344
20260317_030302,0,18,Writing Tripod,air,1,46,18,Writing Tripod,0.4669
20260317_030302,0,18,Writing Tripod,air,1,47,18,Writing Tripod,0.5069
20260317_030302,0,18,Writing Tripod,air,1,48,18,Writing Tripod,0.5322
20260317_030302,0,18,Writing Tripod,air,1,49,18,Writing Tripod,0.4998
20260317_030302,0,18,Writing Tripod,air,1,50,18,Writing Tripod,0.5457
20260317_030302,0,18,Writing Tripod,air,1,51,18,Writing Tripod,0.5396
20260317_030302,0,18,Writing Tripod,air,1,52,18,Writing Tripod,0.5149
20260317_030302,0,18,Writing Tripod,air,1,53,18,Writing Tripod,0.468
20260317_030302,0,18,Writing Tripod,air,1,54,18,Writing Tripod,0.4958
20260317_030302,0,18,Writing Tripod,air,1,55,18,Writing Tripod,0.47
20260317_030302,0,18,Writing Tripod,air,1,56,18,Writing Tripod,0.4317
20260317_030302,0,18,Writing Tripod,air,1,57,18,Writing Tripod,0.3922
20260317_030302,0,18,Writing Tripod,air,1,58,18,Writing Tripod,0.4303
20260317_030302,0,18,Writing Tripod,air,1,59,18,Writing Tripod,0.3923
20260317_030302,0,18,Writing Tripod,air,1,60,15,Lateral,0.3561
20260317_030302,0,18,Writing Tripod,air,1,61,18,Writing Tripod,0.3949
20260317_030302,0,18,Writing Tripod,air,1,62,18,Writing Tripod,0.368
20260317_030302,1,18,Writing Tripod,object,1,0,18,Writing Tripod,0.7635
20260317_030302,1,18,Writing Tripod,object,1,1,18,Writing Tripod,0.7347
20260317_030302,1,18,Writing Tripod,object,1,2,18,Writing Tripod,0.7308
20260317_030302,1,18,Writing Tripod,object,1,3,18,Writing Tripod,0.7885
20260317_030302,1,18,Writing Tripod,object,1,4,18,Writing Tripod,0.7888
20260317_030302,1,18,Writing Tripod,object,1,5,18,Writing Tripod,0.7248
20260317_030302,1,18,Writing Tripod,object,1,6,18,Writing Tripod,0.7976
20260317_030302,1,18,Writing Tripod,object,1,7,18,Writing Tripod,0.7914
20260317_030302,1,18,Writing Tripod,object,1,8,18,Writing Tripod,0.7315
20260317_030302,1,18,Writing Tripod,object,1,9,18,Writing Tripod,0.8107
20260317_030302,1,18,Writing Tripod,object,1,10,18,Writing Tripod,0.7373
20260317_030302,1,18,Writing Tripod,object,1,11,18,Writing Tripod,0.7864
20260317_030302,1,18,Writing Tripod,object,1,12,18,Writing Tripod,0.7495
20260317_030302,1,18,Writing Tripod,object,1,13,18,Writing Tripod,0.7601
